shape	block	order	arm	run_id	setting_index	blocks	work
128	1	1	native	91001	0	2	0
128	1	2	off	91001	0	2	0
128	1	3	on	91001	0	2	0
128	2	1	off	91002	0	2	0
128	2	2	on	91002	0	2	0
128	2	3	native	91002	0	2	0
128	3	1	on	91003	0	2	0
128	3	2	native	91003	0	2	0
128	3	3	off	91003	0	2	0
128	4	1	native	91004	0	2	0
128	4	2	off	91004	0	2	0
128	4	3	on	91004	0	2	0
128	5	1	off	91005	0	2	0
128	5	2	on	91005	0	2	0
128	5	3	native	91005	0	2	0
128	6	1	on	91006	0	2	0
128	6	2	native	91006	0	2	0
128	6	3	off	91006	0	2	0
128	7	1	native	91007	0	2	0
128	7	2	off	91007	0	2	0
128	7	3	on	91007	0	2	0
128	8	1	off	91008	0	2	0
128	8	2	on	91008	0	2	0
128	8	3	native	91008	0	2	0
128	9	1	on	91009	0	2	0
128	9	2	native	91009	0	2	0
128	9	3	off	91009	0	2	0
128	10	1	native	91010	0	2	0
128	10	2	off	91010	0	2	0
128	10	3	on	91010	0	2	0
128	1	1	native	91101	1	4	0
128	1	2	off	91101	1	4	0
128	1	3	on	91101	1	4	0
128	2	1	off	91102	1	4	0
128	2	2	on	91102	1	4	0
128	2	3	native	91102	1	4	0
128	3	1	on	91103	1	4	0
128	3	2	native	91103	1	4	0
128	3	3	off	91103	1	4	0
128	4	1	native	91104	1	4	0
128	4	2	off	91104	1	4	0
128	4	3	on	91104	1	4	0
128	5	1	off	91105	1	4	0
128	5	2	on	91105	1	4	0
128	5	3	native	91105	1	4	0
128	6	1	on	91106	1	4	0
128	6	2	native	91106	1	4	0
128	6	3	off	91106	1	4	0
128	7	1	native	91107	1	4	0
128	7	2	off	91107	1	4	0
128	7	3	on	91107	1	4	0
128	8	1	off	91108	1	4	0
128	8	2	on	91108	1	4	0
128	8	3	native	91108	1	4	0
128	9	1	on	91109	1	4	0
128	9	2	native	91109	1	4	0
128	9	3	off	91109	1	4	0
128	10	1	native	91110	1	4	0
128	10	2	off	91110	1	4	0
128	10	3	on	91110	1	4	0
128	1	1	native	91201	2	8	0
128	1	2	off	91201	2	8	0
128	1	3	on	91201	2	8	0
128	2	1	off	91202	2	8	0
128	2	2	on	91202	2	8	0
128	2	3	native	91202	2	8	0
128	3	1	on	91203	2	8	0
128	3	2	native	91203	2	8	0
128	3	3	off	91203	2	8	0
128	4	1	native	91204	2	8	0
128	4	2	off	91204	2	8	0
128	4	3	on	91204	2	8	0
128	5	1	off	91205	2	8	0
128	5	2	on	91205	2	8	0
128	5	3	native	91205	2	8	0
128	6	1	on	91206	2	8	0
128	6	2	native	91206	2	8	0
128	6	3	off	91206	2	8	0
128	7	1	native	91207	2	8	0
128	7	2	off	91207	2	8	0
128	7	3	on	91207	2	8	0
128	8	1	off	91208	2	8	0
128	8	2	on	91208	2	8	0
128	8	3	native	91208	2	8	0
128	9	1	on	91209	2	8	0
128	9	2	native	91209	2	8	0
128	9	3	off	91209	2	8	0
128	10	1	native	91210	2	8	0
128	10	2	off	91210	2	8	0
128	10	3	on	91210	2	8	0
